Modelo,Accuracy,Precision,Recall,F1,FPR
COMPAS,0.6541019955654102,0.6151035322777101,0.6211562115621156,0.6181150550795593,0.31886982845610495
Logística,0.6746119733924612,0.6623563218390804,0.5670356703567035,0.6110006626905236,0.23713420787083753
