Variable,Grupo,Modelo,Metrica,Valor
etnia,African-American,COMPAS,FPR,0.4415584415584415
etnia,African-American,Logística,FPR,0.3311688311688311
etnia,Asian,COMPAS,FPR,0.0
etnia,Asian,Logística,FPR,0.0
etnia,Caucasian,COMPAS,FPR,0.233695652173913
etnia,Caucasian,Logística,FPR,0.1657608695652173
etnia,Hispanic,COMPAS,FPR,0.1979166666666666
etnia,Hispanic,Logística,FPR,0.2083333333333333
etnia,Native American,COMPAS,FPR,0.3333333333333333
etnia,Native American,Logística,FPR,0.0
etnia,Other,COMPAS,FPR,0.1016949152542373
etnia,Other,Logística,FPR,0.0169491525423728
genero,Female,COMPAS,FPR,0.3106382978723404
genero,Female,Logística,FPR,0.1446808510638297
genero,Male,COMPAS,FPR,0.3214285714285714
genero,Male,Logística,FPR,0.2658730158730158
rango_edad,25 - 45,COMPAS,FPR,0.325
rango_edad,25 - 45,Logística,FPR,0.1642857142857142
rango_edad,Greater than 45,COMPAS,FPR,0.1698113207547169
rango_edad,Greater than 45,Logística,FPR,0.0981132075471698
rango_edad,Less than 25,COMPAS,FPR,0.536144578313253
rango_edad,Less than 25,Logística,FPR,0.7048192771084337
