Modelo,Metrica,Valor
COMPAS,Accuracy,0.6541019955654102
Logística,Accuracy,0.6746119733924612
COMPAS,Precision,0.6151035322777101
Logística,Precision,0.6623563218390804
COMPAS,Recall,0.6211562115621156
Logística,Recall,0.5670356703567035
COMPAS,F1,0.6181150550795593
Logística,F1,0.6110006626905236
COMPAS,FPR,0.31886982845610495
Logística,FPR,0.23713420787083753
