Variable,Grupo,Modelo,Metrica,Valor
etnia,Native American,COMPAS,Recall,1.0
etnia,Native American,Logística,Recall,0.5
etnia,Other,COMPAS,Recall,0.37777777777777777
etnia,Other,Logística,Recall,0.4444444444444444
genero,Female,COMPAS,Recall,0.5572519083969466
genero,Female,Logística,Recall,0.46564885496183206
genero,Male,COMPAS,Recall,0.6334310850439883
genero,Male,Logística,Recall,0.5865102639296188
rango_edad,25 - 45,COMPAS,Recall,0.6438923395445134
rango_edad,25 - 45,Logística,Recall,0.4968944099378882
rango_edad,Greater than 45,COMPAS,Recall,0.3162393162393162
rango_edad,Greater than 45,Logística,Recall,0.3076923076923077
rango_edad,Less than 25,COMPAS,Recall,0.7370892018779343
rango_edad,Less than 25,Logística,Recall,0.8685446009389671
etnia,African-American,COMPAS,F1,0.672566371681416
etnia,African-American,Logística,F1,0.6793650793650794
etnia,Asian,COMPAS,F1,0.5
etnia,Asian,Logística,F1,0.5
etnia,Caucasian,COMPAS,F1,0.5393794749403341
etnia,Caucasian,Logística,F1,0.48517520215633425
etnia,Hispanic,COMPAS,F1,0.49586776859504134
etnia,Hispanic,Logística,F1,0.4666666666666667
etnia,Native American,COMPAS,F1,0.8
etnia,Native American,Logística,F1,0.6666666666666666
etnia,Other,COMPAS,F1,0.5
etnia,Other,Logística,F1,0.6060606060606061
genero,Female,COMPAS,F1,0.5270758122743683
genero,Female,Logística,F1,0.5398230088495575
genero,Male,COMPAS,F1,0.636698599852616
genero,Male,Logística,F1,0.6235385814497272
rango_edad,25 - 45,COMPAS,F1,0.6372950819672131
rango_edad,25 - 45,Logística,F1,0.588957055214724
rango_edad,Greater than 45,COMPAS,F1,0.37185929648241206
rango_edad,Greater than 45,Logística,F1,0.4022346368715084
rango_edad,Less than 25,COMPAS,F1,0.6840958605664488
rango_edad,Less than 25,Logística,F1,0.7184466019417476
etnia,African-American,COMPAS,FPR,0.44155844155844154
etnia,African-American,Logística,FPR,0.33116883116883117
etnia,Asian,COMPAS,FPR,0.0
etnia,Asian,Logística,FPR,0.0
etnia,Caucasian,COMPAS,FPR,0.23369565217391305
etnia,Caucasian,Logística,FPR,0.16576086956521738
etnia,Hispanic,COMPAS,FPR,0.19791666666666666
etnia,Hispanic,Logística,FPR,0.20833333333333334
etnia,Native American,COMPAS,FPR,0.3333333333333333
etnia,Native American,Logística,FPR,0.0
etnia,Other,COMPAS,FPR,0.1016949152542373
etnia,Other,Logística,FPR,0.01694915254237288
genero,Female,COMPAS,FPR,0.31063829787234043
genero,Female,Logística,FPR,0.14468085106382977
genero,Male,COMPAS,FPR,0.32142857142857145
genero,Male,Logística,FPR,0.26587301587301587
rango_edad,25 - 45,COMPAS,FPR,0.325
rango_edad,25 - 45,Logística,FPR,0.16428571428571428
rango_edad,Greater than 45,COMPAS,FPR,0.16981132075471697
rango_edad,Greater than 45,Logística,FPR,0.09811320754716982
rango_edad,Less than 25,COMPAS,FPR,0.536144578313253
rango_edad,Less than 25,Logística,FPR,0.7048192771084337
